Département,Code Postal,Ville,Agence d'Intervention,Actif
1,01400,L'Abergement-Clémenciat,Marseile,Oui
1,01640,L'Abergement-de-Varey,Marseile,Oui
1,01500,Ambérieu-en-Bugey,Marseile,Oui
1,01330,Ambérieux-en-Dombes,Marseile,Oui
1,01300,Ambléon,Marseile,Oui
1,01500,Ambronay,Marseile,Oui
1,01500,Ambutrix,Marseile,Oui
1,01300,Andert-et-Condon,Marseile,Oui
1,01350,Anglefort,Marseile,Oui
1,01100,Apremont,Marseile,Oui
1,01110,Aranc,Marseile,Oui
1,01230,Arandas,Marseile,Oui
1,01100,Arbent,Marseile,Oui
1,01300,Arboys en Bugey,Marseile,Oui
1,01190,Arbigny,Marseile,Oui
1,01230,Argis,Marseile,Oui
1,01510,Armix,Marseile,Oui
1,01480,Ars-sur-Formans,Marseile,Oui
1,01510,Artemare,Marseile,Oui
1,01570,Asnières-sur-Saône,Marseile,Oui
1,01340,Attignat,Marseile,Oui
1,01380,Bâgé-Dommartin,Marseile,Oui
1,01380,Bâgé-le-Châtel,Marseile,Oui
1,01360,Balan,Marseile,Oui
1,01990,Baneins,Marseile,Oui
1,01270,Beaupont,Marseile,Oui
1,01480,Beauregard,Marseile,Oui
1,01100,Bellignat,Marseile,Oui
1,01360,Béligneux,Marseile,Oui
1,01200,Valserhône,Marseile,Oui
1,01300,Belley,Marseile,Oui
1,01130,Belleydoux,Marseile,Oui
1,01260,Valromey-sur-Séran,Marseile,Oui
1,01470,Bénonces,Marseile,Oui
1,01370,Bény,Marseile,Oui
1,01340,Béréziat,Marseile,Oui
1,01500,Bettant,Marseile,Oui
1,01290,Bey,Marseile,Oui
1,01700,Beynost,Marseile,Oui
1,01200,Billiat,Marseile,Oui
1,01330,Birieux,Marseile,Oui
1,01290,Biziat,Marseile,Oui
1,01150,Blyes,Marseile,Oui
1,01120,La Boisse,Marseile,Oui
1,01380,Boissey,Marseile,Oui
1,01450,Bolozon,Marseile,Oui
1,01330,Bouligneux,Marseile,Oui
1,01000,Bourg-en-Bresse,Marseile,Oui
1,01800,Bourg-Saint-Christophe,Marseile,Oui
1,01640,Boyeux-Saint-Jérôme,Marseile,Oui
1,01190,Boz,Marseile,Oui
1,01300,Brégnier-Cordon,Marseile,Oui
1,01110,Brénod,Marseile,Oui
1,01300,Brens,Marseile,Oui
1,01360,Bressolles,Marseile,Oui
1,01460,Brion,Marseile,Oui
1,01470,Briord,Marseile,Oui
1,01310,Buellas,Marseile,Oui
1,01510,La Burbanche,Marseile,Oui
1,01430,Ceignes,Marseile,Oui
1,01450,Cerdon,Marseile,Oui
1,01240,Certines,Marseile,Oui
1,01170,Cessy,Marseile,Oui
1,01250,Ceyzériat,Marseile,Oui
1,01350,Ceyzérieu,Marseile,Oui
1,01320,Chalamont,Marseile,Oui
1,01480,Chaleins,Marseile,Oui
1,01230,Chaley,Marseile,Oui
1,01450,Challes-la-Montagne,Marseile,Oui
1,01630,Challex,Marseile,Oui
1,01260,Champagne-en-Valromey,Marseile,Oui
1,01110,Champdor-Corcelles,Marseile,Oui
1,01410,Champfromier,Marseile,Oui
1,01420,Chanay,Marseile,Oui
1,01990,Chaneins,Marseile,Oui
1,01400,Chanoz-Châtenay,Marseile,Oui
1,01240,La Chapelle-du-Châtelard,Marseile,Oui
1,01130,Charix,Marseile,Oui
1,01800,Charnoz-sur-Ain,Marseile,Oui
1,01500,Château-Gaillard,Marseile,Oui
1,01320,Châtenay,Marseile,Oui
1,01320,Châtillon-la-Palud,Marseile,Oui
1,01400,Châtillon-sur-Chalaronne,Marseile,Oui
1,01190,Chavannes-sur-Reyssouze,Marseile,Oui
1,01250,Nivigne et Suran,Marseile,Oui
1,01660,Chaveyriat,Marseile,Oui
1,01300,Chazey-Bons,Marseile,Oui
1,01150,Chazey-sur-Ain,Marseile,Oui
1,01510,Cheignieu-la-Balme,Marseile,Oui
1,01430,Chevillard,Marseile,Oui
1,01190,Chevroux,Marseile,Oui
1,01170,Chevry,Marseile,Oui
1,01410,Chézery-Forens,Marseile,Oui
1,01390,Civrieux,Marseile,Oui
1,01250,Cize,Marseile,Oui
1,01230,Cleyzieu,Marseile,Oui
1,01270,Coligny,Marseile,Oui
1,01550,Collonges,Marseile,Oui
1,01300,Colomieu,Marseile,Oui
1,01230,Conand,Marseile,Oui
1,01430,Condamine,Marseile,Oui
1,01400,Condeissiat,Marseile,Oui
1,01200,Confort,Marseile,Oui
1,01310,Confrançon,Marseile,Oui
1,01300,Contrevoz,Marseile,Oui
1,01300,Conzieu,Marseile,Oui
1,01420,Corbonod,Marseile,Oui
1,01110,Corlier,Marseile,Oui
1,01290,Cormoranche-sur-Saône,Marseile,Oui
1,01560,Cormoz,Marseile,Oui
1,01250,Corveissiat,Marseile,Oui
1,01370,Courmangoux,Marseile,Oui
1,01560,Courtes,Marseile,Oui
1,01320,Crans,Marseile,Oui
1,01340,Bresse Vallons,Marseile,Oui
1,01350,Cressin-Rochefort,Marseile,Oui
1,01290,Crottet,Marseile,Oui
1,01170,Crozet,Marseile,Oui
1,01290,Cruzilles-lès-Mépillat,Marseile,Oui
1,01350,Culoz-Béon,Marseile,Oui
1,01560,Curciat-Dongalon,Marseile,Oui
1,01310,Curtafond,Marseile,Oui
1,01300,Cuzieu,Marseile,Oui
1,01120,Dagneux,Marseile,Oui
1,01220,Divonne-les-Bains,Marseile,Oui
1,01240,Dompierre-sur-Veyle,Marseile,Oui
1,01400,Dompierre-sur-Chalaronne,Marseile,Oui
1,01270,Domsure,Marseile,Oui
1,01590,Dortan,Marseile,Oui
1,01500,Douvres,Marseile,Oui
1,01250,Drom,Marseile,Oui
1,01160,Druillat,Marseile,Oui
1,01130,Échallon,Marseile,Oui
1,01170,Échenevex,Marseile,Oui
1,01230,Évosges,Marseile,Oui
1,01800,Faramans,Marseile,Oui
1,01480,Fareins,Marseile,Oui
1,01550,Farges,Marseile,Oui
1,01570,Feillens,Marseile,Oui
1,01210,Ferney-Voltaire,Marseile,Oui
1,01350,Flaxieu,Marseile,Oui
1,01340,Foissiat,Marseile,Oui
1,01090,Francheleins,Marseile,Oui
1,01480,Frans,Marseile,Oui
